SPAN 1:	ARIES 1-15: 	THE SPAN OF REALIZATION 
7° 	DIVERS OF THE DEEP SEA ARE BEING LOWERED INTO THE WATERS.	Purposeful, daring plunge into life-mysteries. Fulfillment of in­dividual selfhood through study of unconscious energies.
8° 	A HIGH MOUNTAIN LAKE IS BATHED IN THE FULL MOONLIGHT.	Illumination of the soul by transcendent wisdom. Quiet touch with cosmic strength; or wayward moody effort at greatness.
9° 	A DENTIST IS REPAIRING TEETH RUINED BY CIVILIZED HABITS.	Mechanical inventiveness and control over nature needed to bal­ance man's emphasis on mind and self. Applied creativity.
10° 	A FELLOWSHIP SUPPER REAWAKENS UNFORGETTABLE INNER TIES.	Companionship rooted in past performance. Group-personality emergence. Fraternity of ideals uplifting individual efforts.
11°	A DROWNING MAN IS RESCUED, BROUGHT BACK TO THE CROWD.	Outreaching warmth of human character. Saving power of social restraint for too emotional souls. Humanitarian ideals.
12° 	HIGH OFFICIALS ARE GATHERED AT AN IMPORTANT EMBASSY BALL.	Social recognition of accomplishment as the substance of a ritual of human association. Certification of rank. Ambition.
13° 	IN AN IMPROVISED LABORATORY AN INVENTOR IS NEAR SUCCESS.	Driving power toward achievement, as featured in all benefactors of mankind. Self-sufficient activity. Clever outwitting.
14° 	WORKERS PUSH A TELEPHONE LINE ACROSS FORBIDDING RANGES.	The will to association regardless of time and space. Linkage of separate realms. Spiritual living "in spite of" nature.
15° 	LAUGHNG CHILDREN PLAY UPON FIVE MOUNDS OF WHITE SAND.	The world of the five senses as the playground of God and Soul. Honesty in self-expression. Bondage to sense-patterns.
SPAN 16:	SCORPIO 16-30: 	THE SPAN OF APPRECIATION
16° 	A GIRL WITH ARISTOCRATIC FEATURES SMILES ENTRANCINGLY.	Fervent outreaching of self in moments of the purest beauty. Leaping to meet the potentialities of life. Blossoming forth.
17° 	WOMAN, FECUNDATED BY HER SPIRIT, IS "GREAT WITH CHLD".	Fullness of self-reliance and individual destiny. Cooperation be­tween spiritual and material agencies. Pure self-revelation.
18° 	A WINDING ROAD LEADS THROUGH GLORIOUS AUTUMNAL WOODS.	The light which transfigures the soul after passions have faded away. Revelation of inner wealth. Radiant consummation.
19° 	A WISE OLD PARROT REPEATS THE CONVERSATION HE OVERHEARD.	Dependence upon inner or outer environment for the substance of understanding. Transmission of knowledge. Channel-ship.
20° 	WOMAN FLINGS OPEN DARK CURTAINS CLOSING SACRED PATHWAY.	Courage needed to enlarge sphere of being. Readiness to press beyond self. The "woman" within, opening the gates to Spirit.
21° 	SOLDIER READY TO FACE CHARGES OF DESERTION FOR LOVE'S SAKE.	Conflict between old and new perspectives. A willingness to face chaos for the sake of a new order. Yielding to emotions.
22° 	HUNTERS SHOOTING WILD DUCKS WALK THROUGH A MARSH.	Aggressive quest for outer or inner sustenance. Purposeful satia­tion of desire. Tragic incorporation of ideals. Exercise.
23° 	PLACID WHITE RABBIT METAMORPHOSES INTO A DANCING ELF.	Revelation of unexpected vital urges latent in all beings. Great creative potentialities. Capacity for self-maintenance.
24° 	CROWDS, STIRRED BY A GREAT MESSAGE, RETURN HOME.	The power in well-formulated ideas to become actual facts. Practical inspiration; or else inability to face a vital challenge.
25° 	THANKS TO A FINE X-RAY DIAGNOSIS, A MAN'S LIFE IS SAVED.	Penetrating power of reality. Dependence of outer facts upon basic structures or causes. Sharp and applied discrimination.
26° 	SWIFTLY, INDIANS ERECT THEIR TEEPEES. CAMP IS BEING MADE.	Ability to feel at home in any outer or inner environment. Effi­cient functioning. Retreating into the familiar and the known.
27° 	A MILITARY BAND, FLASHY AND NOISY, MARCHES ON POMPOUSLY.	Desire to impress upon others the glory of one's social eminence. Materialization of normally subjective values. Show.
28° 	THE KING OF FAIRYLAND IS SOLEMNLY WELCOMED TO MS REALM.	Necessary respect for symbolic values holding vital forces in­tegrated. Self-realization through devotion to the One.
29° 	PRINCESS PLEADS BEFORE INCA KING FOR HER CAPTURED SONS.	The sours mediation between spirit and matter. Sustaining power of instincts. Self-awakening to the need for action.
30° 	HALLOWE'EN GIVES SOCIAL RELEASE TO YOUTHFUL IMPISHNESS.	Need for giving free rein to unsocial instincts within the pale of social traditions. Planned release of inner pressure.
SPAN 17:	SAGITTARIUS 1-15: 	THE SPAN OF RECEPTIVENESS
1°	RETIRED ARMY VETERANS GATHER TO REAWAKEN OLD MEMORIES.	Cohesive power of social experience. Comradeship, born of col­lective achievements, which quickens the self. Fervent reunion.
2° 	WHITE-CAPPED WAVES DANCE RHYTHMICALLY UNDER THE WINDS.	Glad response to a vital call to activity. Power to stir and to im­press one's own rhythm upon materials. Proud adornment.
3° 	TWO SEDATE MEN, SMOKING PIPES IN COMFORT, PLAY CHESS.	Re-creation of a world of manifestation through symbols and in­telligence. Schooled confidence in the judgment of self.
4° 	WATCHED BY HAPPY PARENTS, A CHILD TAKES HIS FIRST STEPS.	Life's kindliness in creating safe opportunities for growth. Full appreciation of opportunity. Crisis in self-development.
5° 	HIGH ON AN OLD TREE, A SOLITARY OWL IS GRAVELY PERCHED.	Poised observation upon the drama of life. Mellow judgment. In­grained confidence in the situation and worth of the self.
6° 	A CRICKET GAME IS BEING WATCHED BY A COLORFUL CROWD.	Socialization of man's competitive impulses. Instinctive solidarity building race consciousness. Capitalizing on skill.
7° 	CUPID KNOCKS SMILINGLY AT THE DOOR OF THE HUMAN HEART.	The happiness which awaits every man willing to accept its full­ness. Rounding out of experience. The call to love's feast.
8° 	IN THE CAULDRON OF THE UNIVERSE THE METALS ARE FORMING.	Irresistible determination to be. Infinite capacity for hard work. Crystallization of purpose and will out of experience.
9° 	A MOTHER IS LEADING HER CHILDREN UP A BROAD STAIRWAY.	Conscious advance of selfhood from plane to plane. Real courage in all approach to life. Inner guidance in all growth.
10° 	A STAGE SYMBOLIZATION OF THE "GODDESS OF OPPORTUNITY".	Power of creative significance, as it transforms mere facts into uni­versal symbols. Exteriorization of inner impulses.
11°	AN EVER-BURNING LAMP THROWS LIGHT UPON AN ARCHAIC IDOL.	Influence of social mass upon the individual. Power of "primordial images of Unconscious." Activity dominated by fate.
12° 	A FLAG BECOMES AN EAGLE; THE EAGLE A PROUD CHANTICLEER.	Development of consciousness from abstract to concrete, from general to personal. Mounting mastery. Extreme good fortune.
13° 	A YOUNG WIDOW IS SURPRISED INTO A NEW BIRTH OF LOVE.	The eternal call for fulfillment through love which overcomes per­sonal sensitiveness and set patterns. Revision of attitude.
14° 	SPHINX AND PYRAMIDS STAND, REMAINS OF A GLORIOUS PAST.	Achievement based on past greatness. Power of the countless dead upon the living. Vast resources in selfhood. Antecedents.
15° 	GROUND-HOG, OUT OF ITS WINTER SLEEP, LOOKS FOR ITS SHADOW.	Revelation of basic life-purposes and cycles through omens. Uni­versal patterning of life-relationship. Keen divination.
SPAN 18:	SAGITTARIUS 16-30: 	THE SPAN OF DETACHMENT
16° 	A CALM OCEAN; A MOTIONLESS SHIP; LAZILY SOARING SEAGULLS.	The moments of pause which sustain and presage change. Alert readiness to act; or distress at not knowing what lies ahead.
17° 	PEOPLE GATHER BEFORE DAWN FOR AN OUTDOOR EASTER SERVICE.	Spiritual living in conformity to natural law. Coming out of doubt and despair. Unwavering faith in a near higher power.
18° 	ON THE HOT BEACH CHILDREN PLAY, PROTECTED BY SUNBONNETS.	The protective agency which safeguards the free behavior of in­dividuals. Vivifying contact with collective life-energies.
19° 	PELICANS, DISTURBED BY MEN, MOVE TO PLACES UNKNOWN.	Inward re-emphasis of foundations. Recuperation by retreating within. The introvert's escape. Moving about in reorientation.
20° 	MEN CUTTING THE ICE OF A FROZEN POND, FOR SUMMER USE.	Depth of operation necessary to prepare for next phase of life. Sacrifice of present to future. Throughness of action.
21° 	CHILD AND DOG PLAY GRAVELY, WITH EYEGLASSES ON THEM NOSES.	Usefulness of make-believe. Rising to situations through the imagination. Assuming a part ahead of natural development.
22° 	THE SHOP CLOSED, CHINESE LAUNDRYMEN REVERT TO RACE TYPE.	Retreat to the inner world of self after outer achievement. Safe return to ancestral patterns of behavior. Easy poise.
23° 	IN NEW YORK, ELLIS ISLAND WELCOMES THE IMMIGRANTS.	New openings that come to all who are willing to risk self for the sake of greater selfhood. Reorientation. Presumption.
24° 	THE SYMBOLICAL "BLUE BIRD" ALIGHTS UPON A LITTLE COTTAGE.	The blessings bestowed upon all those who are true to themselves. Unexpected assistance. Happiness. Sheer good fortune.
25° 	RICH LITTLE BOY RIDES UPON HIS BRIGHT-COLORED HORSE.	Growth through vicarious, imaginative experiences, which life might deny us. Detachment from reality. Self-conservation.
26° 	FLAG-BEARER DISTINGUISHES HIMSELF IN HAND-TO-HAND BATTLE.	Exaltation of physical valor as necessary support to lofty race ideals. Spectacular effort. Endowment beyond realization.
27° 	THE SCULPTOR'S VISION IS TAKING FORM UNDER HIS HANDS.	Mastery of formative intelligence over substance. Sure character­ization and understanding. Permanent self-expression.
28° 	ANCIENT BRIDGE WITNESSES TO THE SKILL OF FORGOTTEN MEN.	Enduring elements in understanding as symbols of the community invisible of man, dead and living. Steady coordination.
29° 	PERSPIRING FAT BOY, EAGER TO REDUCE, IS MOWING A LAWN.	Desire for fitness inherent in all living beings. Consciously built, thus dependable determination. Persistent endeavor.
30° 	THE POPE IS HOLDING AUDIENCE IN A HALL OF THE VATICAN.	Wealth of spiritual resources which can be tapped for the glorification of every relationship. Concrete form of ideals.
SPAN 19:	CAPRICORN 1-15: 	THE SPAN OF ILLUSIVENESS
1° 	INDIAN CHIEF CLAIMS POWER FROM THE ASSEMBLED TRIBE.	Mastery of a situation through purposeful planning and venturing. Bold rising to opportunity. Extreme of self-confidence.
2° 	ROSE-WINDOWS IN A GOTHIC CATHEDRAL; ONE, DAMAGED BY WAR.	Underlying resistance to change in life foundations. Faithfulness to self. Testimony of beauty against brute force.
3° 	THE SOUL, AS A HOVERING SPIRIT EAGER TO GAIN EXPERIENCE.	Inner and pure motivation. The power to remain superior to physical limitations; to demonstrate free will. Detachment.
4° 	MERRY-MAKERS EMBARK IN A BIG CANOE ON LANTERN-LIT LAKE.	Externalization through individuals of the collective urges of the race. Foolish love for pleasure. Exploitation of self.
5° 	AN AMERICAN INDIAN CAMP: A FIERCE WAR DANCE BEGINS.	Mobilization of latent energies for determined self-exertion. Ob­session by elemental forces. Violent awakening to reality.
6° 	TEN LOGS LIE UNDER ARCHWAY LEADING TO DARKER WOODS.	Illimitability of experience, as man moves from completion to ever greater fulfillment. Keenness in knowing. Thoroughness.
7° 	A HEAVILY VEILED HIEROPHANT LEADS A RITUAL OF POWER.	Gathering together of the power of a group to one purpose and into an individual will. "Avatar"-ship. Responsibility.
8° 	IN A BIG LIVING ROOM FLOODED WITH SUNLIGHT CANARIES SING.	The happiness that radiates from an integrated personality. Firm self-establishment in social comfort or respectability.
9° 	AN ANGEL CARRYING A HARP COMES THROUGH A HEAVENLY LANE.	The basic harmony of fulfilled selfhood. Realizing harmony in everyday life through detached and lofty understanding.
10° 	ON A SAILBOAT THE SEAMEN ARE FEEDING A TAME ALBATROSS.	Overcoming of instinctive fears through gentle persuasion. Kindly conquest. Culture of spiritual values. Harmlessness.
11° 	PHEASANTS DISPLAY THEIR BRILLIANT COLORS ON A VAST LAWN.	Latent richness of natural resources brought out through selective processes. Capitalization upon opportunity. Luxury.
12° 	NATURAL WONDERS ARE DEPICTED IN A LECTURE ON SCIENCE.	Piercing through appearances; disclosing the magic splendor of the core of things. A universal living touch. Keen vision.
13° 	BENEATH SNOW-CLAD PEAKS A FIRE-WORSHIPPER IS MEDITATING.	Firm establishment upon immemorial principles. Consciousness of absolute unity. Depth of soul-penetration. Self-conquest.
14° 	IN DENSE JUNGLE, A PERFECTLY PRESERVED MAYAN BAS-RELIEF.	Man's power to leave permanent records of his achievements. Personal immortality. Fecundation of future by past. Assurance.
15° 	IN A HOSPITAL, A CHILDREN'S WARD FILLED WITH PLAYTHINGS.	The goodness of life in the tragic trials of first attempts at self­regeneration. Administered responsibility; or escape.
SPAN 20:	CAPRICORN 16-30: 	THE SPAN OF DEPENDENCE
16° 	SCHOOL GROUNDS FILLED WITH YOUTHS IN GYMNASIUM SUITS.	Normal dependence upon physical stimulation. Robust enthu­siasm in approaching life's contests; or immature impulsiveness.
17° 	REPRESSED WOMAN FINDS A PSYCHOLOGICAL RELEASE IN NUDISM.	Escape from bondage to social inhibitions. Readjustment of relation of spirit to body. Self-purification. Self-confrontation.
18° 	THE UNION JACK FLAG FLIES FROM A NEW BRITISH DESTROYER.	Extreme of objectification of inner resources. Challenge to life. Splendid self-realization. Full awareness of competition.
19° 	FIVE-YEAR-OLD GIRL PROUDLY DOES HER MOTHER'S MARKETING.	Capacity to take place ahead of normal standards. Increased self-confidence. Waiting for conditions to catch up with self.
20° 	THROUGH THE EMPTY CHURCH, THE CHOIR IS HEARD, REHEARSING.	The unrealized fullness of life even in the emptiest hours. Prepa­ration for activity. Ray of hope through all difficulty.
21° 	A RELAY RACE. EACH RUNNER SPRINGS EAGERLY INTO PLACE.	Extreme of cooperation and give-and-take in life-relationships. Full surrender of self to service. Planned group-behavior.
22° 	DEFEATED GENERAL YIELDS UP HIS SWORD WITH NOBLE DIGNITY.	Apparent defeat that spells real spiritual victory. Bowing to cus­tom. Conquest through conformity to established norm.
23° 	A SOLDIER RECEIVES DECOROUSLY TWO AWARDS FOR BRAVERY.	Reward offered by society for the fulfilling of individual respon­sibility. Recognition of worth; unearned good fortune.
24°	A WOMAN WALKING TO THE SURE HAVEN OF A CONVENT.	Protective kindness of life to weary hearts. Quiet undercurrent of real existence. Compelled assistance. Timely rescue.
25° 	LITTLE BOYS FROLIC UPON SOFT RUGS IN AN ORIENTAL STORE.	First realization of cultural values through sensuous enjoyment. Refinement of sensations. Psychological enrichment.
26° 	RADIANT SPRITE DANCES UPON THE MIST OF A WATERFALL.	Transcendence of spirit over body and environment. Lightness of understanding. Inexhaustible soul resources. Effervescence.
297 (27°)	MEN CLIMB A SACRED PEAK:BELOW,THE WORLD-ABOVE, PEACE	Necessary linkage of above and below in the seeker's personal experience. Balanced dualism of subjective-objective life.	When positive, the degree is a total reconciliation of mind and heart in an unquestioned devotion to some worth-while task at hand, and when negative, satisfaction in superficial allegiances and a parade of false virtue.
298 (28°) 	THE AVIARY OF A RURAL MANSION, FILLED WITH SINGING BIRDS	Enhancement of personality by familiarity with spiritual values. Joying in the significance of things; or mental confusion.	When positive, the degree is exceptional success in making all personal concerns a matter of common welfare, and when negative, loss of all character in sheer officiousness.
299 (29°) 	A GYPSY READS FORTUNES IN THE TEA-CUPS OF SOCIETY LADIES	The quest for inner understanding through all life-conditioning. First approach to reality. Desire to transcend routine.	When positive, the degree is naive insight as brought to high intelligence in meeting the recurrent issues of life, and when negative, superstitious dependence on the unknown.
300 (30°) 	THE DIRECTORS OF A LARGE FIRM MEET IN SECRET CONFERENCE	Activity of inner formative elements of real personality. Massing of soul-energies in an emergency. Spiritual leadership.	When positive, the degree is a gift for clever planning and successful administration in every area of life, and when negative, rampant selfishness and rank exploitation of others.
SPAN 21:	AQUARIUS 1-15: 	THE SPAN OF DEFENSIVENESS 
301 (1°)	OLD ADOBE MISSION NESTLES IN CALIFORNIA'S BROWN HILLS	Mastery of man over environment while becoming an integral part of it. Recognition of established values. Impressiveness.	When positive, the degree is effective breadth of vision and a respect-compelling depth of character, and when negative, lack of ambition and blind adherence to superficialities.
302 (2°)	UNEXPECTED THUNDERSTORM BRINGS RELIEF TO PARCHED FIELDS	Liberation from adverse conditions through violent spectacular developments. Galvanizing to action. Cosmic visitation.	When positive, the degree is creative opportunism and a genius for shaping all eventualities to some desired end, and when negative, complete temperamental instability.
303 (3°)	A DESERTER SUDDENLY REALIZES THE FALLACY OF HIS CONDUCT	Ability to regrasp past experience and turn it to account. Sharp self-examination. Awakened new fearlessness. Decision.	When positive, the degree is genuine psychological courage in a repudiation of all meaningless loyalties, and when negative, complete inability to follow the rules of any game.
304 (4°)	A HINDU PUNDIT REVEALS HIMSELF SUDDENLY A GREAT HEALER	Supremacy of the unsuspected faculties hidden deep within. Conscious utilization of divine potency. Revelation of self.	When positive, the degree is high personal skill in bringing the least of human potentials to some ultimate consummation, and when negative, false claims of psychological power in an effort to impress others.
305 (5°)	A WORLD-LEADER IS SEEN GUIDED BY HIS ANCESTORS' SPIRITS	The rich ancestral heritage of every individual, which is the potent foundation of character. Direct, real inspiration.	When positive, the degree is power through absolute self-integrity, and when negative, sterile conservatism.
306 (6°)	IN AN ALLEGORICAL MYSTERY RITUAL A MAN OFFICIATES ALONE	Compelling urge in every soul to express the unknown and the more-then-physical. Sensitiveness to high purpose. Conflict.	When positive, the degree is a gift for dramatizing the deeper or real opportunities of a human society, and when negative, consistent self-mystification and marked impracticability.
307 (7°)	OUT OF THE COSMIC EGG,LIFE IS BORN FRESH AND VIRGINAL	New actuation of effort by the power of unrealized purposes. Self-expression beyond all expectation. Spiritual protection.	When positive, the degree is a highly individual and completely unlimited resourcefulness, and when negative, naive reliance on external accident.
308 (8°)	WAX FIGURES DISPLAY BEAUTIFUL GOWNS IN STORE-WINDOWS	Need for public presentation of virtues and life standards. Exteriorization of value, that it may be shared with others.	When positive, the degree is achievement through the effective dramatization of human character on some level of everyday understanding, and when negative, futile effort to recapture outworn experience.
309 (9°)	IN MEDITATION, A FLAG IS SEEN, WHICH CHANGES INTO A EAGLE	Process of spiritual realization as it progresses from outer to inner standards. Rebirth, or rebellion against drudgery.	When positive, the degree is accomplishment through utter self-dedication, and when negative, vindictive pride.
310 (10°)	UNSPOILED BY POPULARITY NOW WANING A MAN PLANS ANEW	Ability to rise above vicissitudes of passing fortune. Faithfulness to self. Dependence upon native endowment. Projection.	When positive, the degree is a gift for bringing the issues of life to a dramatic consummation at a time of crisis, and when negative, prodigal opportunism.
311 (11°)	ARTIST, AWAY FROM THE WORLD, RECEIVES A NEW INSPIRATION	Creative power in man: its relationship to social behaviour. Self-crystallization in a form of power; or self-exploitation.	When positive, the degree is an enthusiastic idealism and a tireless desire to serve others, and when negative, complete self-obsession.
312 (12°)	LIFE'S BROAD STAIRWAY: EACH LANDING, A NEW GRADE OF LIFE	Points of pause and tradition, where the soul can evaluate its progress. Graded effort. Necessity for divorcing the past.	When positive, the degree is an effective forward point of view and a genuine capitalization on all prior accomplishment, and when negative, frantic efforts to keep ahead of others.
313 (13°)	A BAROMETER HANGS UNDER THE PORCH OF A QUIET RURAL INN	Vantage point in consciousness whence life may be observed and measured in peace. Inner retreat of a soul seeking truth.	When positive, the degree is unusual keenness of observation and exceptional competence in judgement, and when negative, superficial uncertainty and a continual trimming to passing events.
314 (14°)	ON A STEEP CLIMB, A TUNNEL OFFERS SHORT-CUT TO A TRAIN	The way within to outer success. Sure relief to the toiler ready to face facts. Penetration and direct accomplishment.	When positive, the degree is man's gift for meeting the most exacting of demands on his various potentialities, and when negative, uninspired conformity to limitation.
315 (15°)	TO LOVE-BIRDS ON A FENCE SING OUT THEIR PURE HAPPINESS	Contagiousness of happiness in human associations. Revelation of constructive reality. Radiation of spontaneous faith.	When positive, the degree is a self-consistency which wins an absolute loyalty and a complete co-operation, and when negative, unreasoning jealousy.
SPAN 22:	AQUARIUS 16-30: 	THE SPAN OF PERSPECTIVE 
316 (16°)	BUSINESS MANAGER AT HIS DESK STUDIES A COMPLEX PROJECT	The central control of operations needed in all organized enterprise. The head-function. Surety in decision. Management.	When positive, the degree is effective self-realization through achievement of consequence, and when negative, ambitious superficiality.
317 (17°)	WATCH DOG ON GUARD AS GOLD-MINER SLEEPS NEAR HIS STRIKE	Nascent protective faculties in all men as they adjust themselves to new conditions. Competent organization of affairs.	When positive, the degree is unswerving faithfulness to ideals and a real determination to achieve them, and when negative, unfriendly instincts and groundless suspicion.
318 (18°)	AT MASQUERADE,THE LAST MAN UNMASKS,URGED BY THE GIRLS	The introvert's desire to protect himself from social judgement. Clinging to self-valuation. Conservation of experience.	When positive, the degree is a considered self-dedication to greater or more wonderful reasons for being, and when negative, self-betrayal through exceptional ineptitude.
319 (19°)	A FOREST FIRE SUBDUED, THE WEARY FIGHTERS FEEL JUBILANT	Exaggeration of life-problems, which reveals to man his real stature and which expands him. Impatient challenge. Ascendancy.	When positive, the degree is special skill in bringing personal interests to some larger point of effectiveness, and when negative, a fear of experience and a subtle delight in calamity.
320 (20°)	WHITE DOVE CIRCLES OVERHEAD;DESCENDS, BEARING A MESSAGE	The blessing of every effort by the "Holy Ghost" of revealed significance. Exaltation of all individual efforts. Celebrity.	When positive, the degree is a facility for ordering all personal desires in a cosmic framework and a gift for knowing when to act and what to do, and when negative, sanctimonious self-deception.
321 (21°)	A WOMAN IS DISAPPOINTED, AS A MAN LEAVES HER BOUDOIR	Capitalization upon misfortune by which spiritual justification is gained. Supremacy over experience. Inward retirement.	When positive, the degree is the self's inherent gift for pressing on and gaining increased powers with every setback, and when negative, the acceptance of all defeat as final.
322 (22°)	CHILDREN REVEL UPON A SOFT NEW CARPET IN THEIR NURSERY	Life's warmth and richness given to those who eagerly learn to live. Luxurious self-knowing, or self-appreciation. Comfort.	When positive, the degree is unusual capacity for the exploitation of immediate resources and the deepening of every potential of selfhood, and when negative, carefree self-indulgence and meaningless luxury.
323 (23°)	A BIG TRAINED BEAR PERFORMS,SITTING ON A HUGE CHAIR	Need to build an adequate concrete vehicle for cosmic power. Performance beyond native endowment. A striving for balance.	When positive, the degree is a consistent desire for genuinely significant experience and a willingness to dramatize the self's potentials to any necessary extent, and when negative, frantic efforts to gain and hold attention.
324 (24°)	NOW FREED FROM PASSION, A MAN TEACHES DEEP WISDOM	Utilization of experience and passion by the intelligence that remains un-involved. Self-conquering. Genuine dispassion.	When positive, the degree is effective accomplishment through a genuine peace of inner understanding, and when negative, thorough dissatisfaction with the normal fruits of living.
325 (25°)	A BUTTERFLY EMERGES FROM ITS CHRYSALIS, RIGHT WING FIRST	Necessary advance of volition over reflex elements. Willing approach to problems of being. Fitting to alien ideas. Choice.	When positive, the degree is a genius for turning deficiency into a real asset, and when negative, unhappy and rebellious conceit.
326 (26°)	A GARAGE MAN IS SEEN READY TO TEST THE BATTERY OF A CAR	Capacity of self to take up and deliver spiritual power. Controlled release of power through the emotions. Measurement.	When positive, the degree is exceptional ability in manipulating the fundamental complexities of living, and when negative, self-defeating worry over trifles.
327 (27°)	AMID RARE BOOKS, AN OLD POTTERY BOWL HOLDS FRESH VIOLETS	Reality of spiritual or esthetic values, linking generations of seekers for the highest. Addition or commitment to value.	When positive, the degree is a high realization of values and a real gift for using them, and when negative, a loss of self in conventionality and its meaningless trappings.
328 (28°)	HUGE PILE OF SAWED-UP WOOD INSURES HEAT FOR THE WINTER	Rich contribution of nature for all who work with foresight. Intelligent preparation. Calm yet potent faith in Providence.	When positive, the degree is man's uninhibited and enthusiastic desire to be at work or to mobilize everything around him in his own interest, and when negative, unnecessary surrender to hard or unrewarding effort through a total lack of imagination.
329 (29°)	METAMORPHOSIS COMPLETED, A BUTTERFLY SPREADS ITS WINGS	Immortality of the real self. Graduation into a new realm of being. Confident projection of self; lack of self-confidence.	When positive, the degree is uncompromising faith in the promise of existence itself and in the wonders of a continuing creation, and when negative, utterly sluggish response to reality.
330 (30°)	MOON-LIT FIELDS, ONCE BABYLON, ARE BLOOMING WHITE	Soul-refreshing inner poetry of being. Spiritually nurtured sentiment which illumines the heart. Voices from the past.	When positive, the degree is self-illumination through exceptional service to others, and when negative, witless reaction to fantasy.
SPAN 23:	PISCES 1-15: 	THE SPAN OF INNOCENCE 
331 (1°)	LATE SATURDAY AFTERNOON: CROWDS FILL THE PUBLIC MARKET	The social nature of human responsibilities. A last-moment,joyous rallying to a task. Seed synthesis at end of cycles.	When positive, the degree is an exceptional capacity for organizing the converging and conflicting interests of many people in practical arrangements of mutual benefit, and when negative, complete insensibility to any over-all welfare.
332 (2°)	SQUIRREL,SHOWING HUMAN ACUMEN,HIDES FROM HUNTER	Instinct of self-preservation as a basis for greater realization. Lifting of self to surer foundations. Transference.	When positive, the degree is an intelligent independence of spirit and a consequent real gift for setting the conditions for all personal participation in events, and when negative, self-debasing timidity.
333 (3°)	A PETRIFIED FOREST: PERMANENT RECORD OF ANCIENT LIVES	Mastery of form over substance. Archetypal immortality. Conscious handling of existence. Participation in race impulses.	When positive, the degree is effective continuity and breadth of resource in all human effort, and when negative, complete immobilization in superficial reality.
334 (4°)	CARS CROWD A NARROW ISTHMUS BETWEEN TWO RESORTS	Linkage in activity of all community values. Free flow from ideas to consummation. Sense of significance in relationship.	When positive, the degree is an unusual gift for organizing all transient enterprise in patterns of a rewarding and overall effectiveness, and when negative, stubborn blindness to the general welfare.
335 (5°)	A WARM-HEARTED CROWD GATHERS AT A CHURCH BAZAAR	Interchange of spirit and understanding on which groups are built. New self-development. Discouragement mastered. Commerce.	When positive, the degree is a special genius for philanthropy and the organization of society's real concern for the well-being of men in general, and when negative, social exclusiveness and smug self-satisfaction.
336 (6°)	A PARADE OF WEST POINT CADETS IS HELD AS THE SUN SETS	Self-exaltation through consecration to the task of defending collective values. Self-testing. Perception of high goals.	When positive, the degree is schooled self- assurance and absolute responsibility, and when negative, unimaginative exercise of special privilege.
337 (7°)	FOG HIDES THE SHORE;BUT ON A CLEAR ROCK A CROSS RESTS	Concentration of values amidst the chaos of outer living. Clear light of high realization. Acceptance of life's limits.	When positive, the degree is a rugged independence of inner spirit and a courageous rejection of all outer compromise, and when negative, utter timidity of self-interest.
338 (8°)	GIRL-SCOUT, IN CAMP, BLOWS HER BUGLE TRIUMPHANTLY	Fullness of life as it manifest	in service to the whole. Spiritual socialization. Call to participation in the race work. When positive, the degree is an eagerness for self-expression and an alertness to every opportunity for self-justification, and when negative, officiousness and delight in regimentation. 
339 (9°)	THE RACE BEGINS:A JOCKEY SPURS HIS HORSE TO GREAT SPEED	The capacity of man to throw himself fully into any type of activity. Self-quickening. Premature expenditure of energy.	When positive, the degree is a spectacular gift for rising to any occasion, and when negative, witless gambling of every resource and potentiality.
340 (10°)	THE AVIATOR SAILS ACROSS THE SKY, MASTER OF HIGH REALMS	Transcendence of normal problems. Gaining of celestial responsibilities. Consummation of the highest ideals. Coronation.	When positive, the degree is special competence in whole judgement and long-range planning, and when negative, insensate otherworldliness or irresponsible isolationism.
341 (11°)	SEEKERS FOR ILLUMINATION ARE GUIDED INTO THE SANCTUARY	Introduction of conscious mind to the intuitive soul-realms. Self-dedication. Self-awakening; or surrender to inner fears.	When positive, the degree is high accomplishment in an effective alignment with the ultimate reality, and when negative, obvious hypocrisy.
342 (12°)	CANDIDATES ARE BEING EXAMINED BY THE LODGE OF INITIATES	Inner ordeal before every true seeker. The individual facing collective wisdom. Re-affirmation of purpose. God-revelation.	When positive, the degree is instinctive conformity to the highest expectation of everybody concerned in each new situation of consequence, and when negative, embittered self-solicitude.
343 (13°)	OLD WEAPONS IN A MUSEUM: IN A GLASS CASE, A SACRED SWORD	Courage and fearlessness needed in the quest for spirit and real understanding. Real faith in self; or emptiness of dread.	When positive, the degree is personal power in living common ideals, and when negative, ridiculous pretence of epic merit.
344 (14°)	A YOUNG LADY, WRAPPED IN FURS, DISPLAYS SUPREME ELEGANCE	Necessary superficial advertisement of inner worth. Certification of true merit. Schooled esteem. Embarrassing wealth.	When positive, the degree is high accomplishment through a consistent representation of the self's assets in the best possible light, and when negative, amoral opportunism.
345 (15°)	AN OFFICER IN UNKEMPT CAMPAIGN UNIFORM DRILLS HIS MEN	Subjective of outer appearances to real necessities. Potent compulsion of a great task to be performed. Opportunity seized.	When positive, the degree is a gift for bringing genuine efficiency and real adventure to common objectives, and when negative, uninspiring drudgery.
SPAN  24:	PISCES 16-30: 	THE SPAN OF PROTECTION 
